Transaction Code,Customer Id,Age,Job,Marital,Education,Default,Account Balance,Housing,Loan,Contact,Day,Month,Date,Call Duration,Campaign Id,Campaign,Time Between Campaigns,# of Calls,Campaign Success,Purchased Product
1-49-22X,49,32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,4,feb,2/4/2015,204,1,Life Insurance,-1,0,unknown,no
1-72-33X,72,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,5/5/2015,380,1,Life Insurance,-1,0,unknown,no
1-153-61X,153,45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,7/1/2015,92,1,Life Insurance,-1,0,unknown,no
1-352-126X,352,35,management,married,tertiary,yes,32,yes,no,cellular,21,nov,11/21/2015,180,1,Life Insurance,-1,0,unknown,no
1-404-146X,404,48,retired,married,primary,yes,-285,no,yes,cellular,19,nov,11/19/2015,157,1,Life Insurance,-1,0,unknown,no
1-473-182X,473,38,entrepreneur,married,secondary,yes,15,yes,no,cellular,10,jul,7/10/2015,121,1,Life Insurance,-1,0,unknown,no
1-559-220X,559,41,blue-collar,married,secondary,yes,720,no,yes,cellular,24,jul,7/24/2015,651,1,Life Insurance,-1,0,unknown,yes
1-595-232X,595,37,unemployed,single,tertiary,yes,0,yes,no,cellular,10,jul,7/10/2015,108,1,Life Insurance,-1,0,unknown,no
1-636-252X,636,33,management,divorced,tertiary,yes,280,no,yes,cellular,18,nov,11/18/2015,155,1,Life Insurance,-1,0,unknown,no
1-897-352X,897,31,technician,single,secondary,yes,25,no,no,cellular,2,feb,2/2/2015,381,1,Life Insurance,-1,0,unknown,no
1-1441-563X,1441,56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,6/5/2015,1558,1,Life Insurance,-1,0,unknown,yes
1-1744-673X,1744,51,self-employed,married,secondary,yes,34,no,yes,cellular,7,jul,7/7/2015,200,1,Life Insurance,-1,0,unknown,no
